k-epsilon,ePBL,CVmix,datetime
-79.5,-79.5,-79.5,05-Apr-2021 01:00:00
-90.5,-86.5,-82.5,05-Apr-2021 01:30:00
-87.5,-87.5,-84.5,05-Apr-2021 02:00:00
-88.5,-89.5,-85.5,05-Apr-2021 02:30:00
-90.5,-91.5,-86.5,05-Apr-2021 03:00:00
-91.5,-92.5,-87.5,05-Apr-2021 03:30:00
-92.5,-94.5,-88.5,05-Apr-2021 04:00:00
-92.5,-95.5,-89.5,05-Apr-2021 04:30:00
-93.5,-95.5,-90.5,05-Apr-2021 05:00:00
-94.5,-96.5,-90.5,05-Apr-2021 05:30:00
-94.5,-96.5,-91.5,05-Apr-2021 06:00:00
-94.5,-96.5,-91.5,05-Apr-2021 06:30:00
-95.5,-96.5,-92.5,05-Apr-2021 07:00:00
-95.5,-96.5,-92.5,05-Apr-2021 07:30:00
-95.5,-96.5,-92.5,05-Apr-2021 08:00:00
-95.5,-96.5,-92.5,05-Apr-2021 08:30:00
-94.5,-96.5,-92.5,05-Apr-2021 09:00:00
-93.5,-95.5,-92.5,05-Apr-2021 09:30:00
-92.5,-95.5,-92.5,05-Apr-2021 10:00:00
-91.5,-93.5,-91.5,05-Apr-2021 10:30:00
-90.5,-91.5,-89.5,05-Apr-2021 11:00:00
-87.5,-89.5,-86.5,05-Apr-2021 11:30:00
-82.5,-86.5,-76.5,05-Apr-2021 12:00:00
-74.5,-82.5,-3.5,05-Apr-2021 12:30:00
-47.5,-79.5,-3.5,05-Apr-2021 13:00:00
-8.5,-75.5,-3.5,05-Apr-2021 13:30:00
-4.5,-47.5,-2.5,05-Apr-2021 14:00:00
-4.5,-7.5,-2.5,05-Apr-2021 14:30:00
-4.5,-6.5,-2.5,05-Apr-2021 15:00:00
-4.5,-6.5,-3.5,05-Apr-2021 15:30:00
-5.5,-8.5,-5.5,05-Apr-2021 16:00:00
-8.5,-34.5,-14.5,05-Apr-2021 16:30:00
-26.5,-73.5,-34.5,05-Apr-2021 17:00:00
-74.5,-81.5,-68.5,05-Apr-2021 17:30:00
-82.5,-86.5,-77.5,05-Apr-2021 18:00:00
-86.5,-89.5,-81.5,05-Apr-2021 18:30:00
-89.5,-91.5,-84.5,05-Apr-2021 19:00:00
-91.5,-94.5,-86.5,05-Apr-2021 19:30:00
-93.5,-95.5,-87.5,05-Apr-2021 20:00:00
-94.5,-96.5,-89.5,05-Apr-2021 20:30:00
-95.5,-96.5,-90.5,05-Apr-2021 21:00:00
-95.5,-96.5,-90.5,05-Apr-2021 21:30:00
-95.5,-97.5,-91.5,05-Apr-2021 22:00:00
-95.5,-97.5,-92.5,05-Apr-2021 22:30:00
-95.5,-97.5,-92.5,05-Apr-2021 23:00:00
-95.5,-97.5,-93.5,05-Apr-2021 23:30:00
-95.5,-97.5,-93.5,06-Apr-2021 00:00:00
-96.5,-98.5,-93.5,06-Apr-2021 00:30:00
-96.5,-98.5,-94.5,06-Apr-2021 01:00:00
-96.5,-98.5,-94.5,06-Apr-2021 01:30:00
-96.5,-98.5,-94.5,06-Apr-2021 02:00:00
-96.5,-98.5,-95.5,06-Apr-2021 02:30:00
-96.5,-99.5,-95.5,06-Apr-2021 03:00:00
-96.5,-99.5,-95.5,06-Apr-2021 03:30:00
-96.5,-99.5,-95.5,06-Apr-2021 04:00:00
-96.5,-99.5,-95.5,06-Apr-2021 04:30:00
-97.5,-99.5,-95.5,06-Apr-2021 05:00:00
-97.5,-99.5,-96.5,06-Apr-2021 05:30:00
-97.5,-99.5,-96.5,06-Apr-2021 06:00:00
-97.5,-100.5,-96.5,06-Apr-2021 06:30:00
-97.5,-100.5,-96.5,06-Apr-2021 07:00:00
-97.5,-100.5,-96.5,06-Apr-2021 07:30:00
-97.5,-99.5,-97.5,06-Apr-2021 08:00:00
-97.5,-99.5,-97.5,06-Apr-2021 08:30:00
-97.5,-99.5,-97.5,06-Apr-2021 09:00:00
-97.5,-98.5,-97.5,06-Apr-2021 09:30:00
-97.5,-98.5,-97.5,06-Apr-2021 10:00:00
-96.5,-97.5,-97.5,06-Apr-2021 10:30:00
-96.5,-97.5,-97.5,06-Apr-2021 11:00:00
-96.5,-96.5,-97.5,06-Apr-2021 11:30:00
-96.5,-96.5,-96.5,06-Apr-2021 12:00:00
-95.5,-96.5,-96.5,06-Apr-2021 12:30:00
-95.5,-96.5,-96.5,06-Apr-2021 13:00:00
-95.5,-96.5,-96.5,06-Apr-2021 13:30:00
-95.5,-96.5,-96.5,06-Apr-2021 14:00:00
-94.5,-96.5,-96.5,06-Apr-2021 14:30:00
-94.5,-96.5,-96.5,06-Apr-2021 15:00:00
-94.5,-96.5,-96.5,06-Apr-2021 15:30:00
-94.5,-96.5,-96.5,06-Apr-2021 16:00:00
-94.5,-96.5,-95.5,06-Apr-2021 16:30:00
-94.5,-96.5,-95.5,06-Apr-2021 17:00:00
-94.5,-96.5,-96.5,06-Apr-2021 17:30:00
-94.5,-96.5,-96.5,06-Apr-2021 18:00:00
-95.5,-96.5,-96.5,06-Apr-2021 18:30:00
-95.5,-96.5,-96.5,06-Apr-2021 19:00:00
-96.5,-96.5,-97.5,06-Apr-2021 19:30:00
-96.5,-97.5,-97.5,06-Apr-2021 20:00:00
-96.5,-97.5,-97.5,06-Apr-2021 20:30:00
-97.5,-97.5,-97.5,06-Apr-2021 21:00:00
-97.5,-97.5,-97.5,06-Apr-2021 21:30:00
-97.5,-98.5,-98.5,06-Apr-2021 22:00:00
-97.5,-98.5,-98.5,06-Apr-2021 22:30:00
-97.5,-98.5,-98.5,06-Apr-2021 23:00:00
-97.5,-98.5,-98.5,06-Apr-2021 23:30:00
-97.5,-98.5,-98.5,07-Apr-2021 00:00:00
-98.5,-98.5,-98.5,07-Apr-2021 00:30:00
-98.5,-99.5,-98.5,07-Apr-2021 01:00:00
-98.5,-99.5,-99.5,07-Apr-2021 01:30:00
-99.5,-99.5,-99.5,07-Apr-2021 02:00:00
-99.5,-99.5,-99.5,07-Apr-2021 02:30:00
-99.5,-100.5,-99.5,07-Apr-2021 03:00:00
-99.5,-100.5,-99.5,07-Apr-2021 03:30:00
-99.5,-100.5,-99.5,07-Apr-2021 04:00:00
-99.5,-100.5,-99.5,07-Apr-2021 04:30:00
-99.5,-100.5,-99.5,07-Apr-2021 05:00:00
-100.5,-100.5,-100.5,07-Apr-2021 05:30:00
-100.5,-101.5,-100.5,07-Apr-2021 06:00:00
-100.5,-101.5,-100.5,07-Apr-2021 06:30:00
-100.5,-101.5,-100.5,07-Apr-2021 07:00:00
-100.5,-102.5,-100.5,07-Apr-2021 07:30:00
-100.5,-101.5,-100.5,07-Apr-2021 08:00:00
-100.5,-101.5,-100.5,07-Apr-2021 08:30:00
-100.5,-101.5,-100.5,07-Apr-2021 09:00:00
-100.5,-101.5,-100.5,07-Apr-2021 09:30:00
-100.5,-101.5,-100.5,07-Apr-2021 10:00:00
-100.5,-101.5,-100.5,07-Apr-2021 10:30:00
-100.5,-101.5,-100.5,07-Apr-2021 11:00:00
-100.5,-101.5,-100.5,07-Apr-2021 11:30:00
-100.5,-101.5,-100.5,07-Apr-2021 12:00:00
-100.5,-101.5,-100.5,07-Apr-2021 12:30:00
-100.5,-101.5,-100.5,07-Apr-2021 13:00:00
-100.5,-101.5,-100.5,07-Apr-2021 13:30:00
-100.5,-101.5,-99.5,07-Apr-2021 14:00:00
-95.5,-101.5,-65.5,07-Apr-2021 14:30:00
-20.5,-101.5,-22.5,07-Apr-2021 15:00:00
-8.5,-101.5,-12.5,07-Apr-2021 15:30:00
-6.5,-100.5,-6.5,07-Apr-2021 16:00:00
-5.5,-97.5,-7.5,07-Apr-2021 16:30:00
-5.5,-33.5,-6.5,07-Apr-2021 17:00:00
-6.5,-42.5,-14.5,07-Apr-2021 17:30:00
-18.5,-100.5,-32.5,07-Apr-2021 18:00:00
-76.5,-101.5,-57.5,07-Apr-2021 18:30:00
-100.5,-101.5,-91.5,07-Apr-2021 19:00:00
-100.5,-101.5,-97.5,07-Apr-2021 19:30:00
-100.5,-101.5,-99.5,07-Apr-2021 20:00:00
-100.5,-101.5,-100.5,07-Apr-2021 20:30:00
-100.5,-101.5,-100.5,07-Apr-2021 21:00:00
-100.5,-101.5,-100.5,07-Apr-2021 21:30:00
-101.5,-101.5,-100.5,07-Apr-2021 22:00:00
-101.5,-101.5,-100.5,07-Apr-2021 22:30:00
-101.5,-101.5,-100.5,07-Apr-2021 23:00:00
-101.5,-101.5,-100.5,07-Apr-2021 23:30:00
-101.5,-101.5,-100.5,08-Apr-2021 00:00:00
-101.5,-101.5,-100.5,08-Apr-2021 00:30:00
-101.5,-101.5,-100.5,08-Apr-2021 01:00:00
-101.5,-101.5,-100.5,08-Apr-2021 01:30:00
-101.5,-102.5,-101.5,08-Apr-2021 02:00:00
-101.5,-102.5,-101.5,08-Apr-2021 02:30:00
-101.5,-102.5,-101.5,08-Apr-2021 03:00:00
-101.5,-102.5,-101.5,08-Apr-2021 03:30:00
-101.5,-102.5,-101.5,08-Apr-2021 04:00:00
-101.5,-102.5,-101.5,08-Apr-2021 04:30:00
-101.5,-102.5,-101.5,08-Apr-2021 05:00:00
-101.5,-102.5,-101.5,08-Apr-2021 05:30:00
-101.5,-103.5,-102.5,08-Apr-2021 06:00:00
-101.5,-103.5,-102.5,08-Apr-2021 06:30:00
-101.5,-103.5,-102.5,08-Apr-2021 07:00:00
-101.5,-103.5,-102.5,08-Apr-2021 07:30:00
-101.5,-103.5,-102.5,08-Apr-2021 08:00:00
-101.5,-103.5,-102.5,08-Apr-2021 08:30:00
-101.5,-103.5,-102.5,08-Apr-2021 09:00:00
-101.5,-103.5,-102.5,08-Apr-2021 09:30:00
-101.5,-103.5,-102.5,08-Apr-2021 10:00:00
-101.5,-103.5,-102.5,08-Apr-2021 10:30:00
-101.5,-102.5,-101.5,08-Apr-2021 11:00:00
-101.5,-101.5,-101.5,08-Apr-2021 11:30:00
-101.5,-100.5,-100.5,08-Apr-2021 12:00:00
-101.5,-95.5,-84.5,08-Apr-2021 12:30:00
