CNN_classlist,Diatom,pennatediatom,Dinoflagellate,Coccolithophore,Ciliate,flagellate,Nano,Other_phyto,OtherLive,OtherNotAlive,IFCBArtifact,Diatom_noDetritus,Detritus,protist_tricho,metazoan
detritus_theca_fragment,0,NaN,0,0,0,0,0,NaN,0,1,0,0,1,0,0
seta,0,NaN,0,0,0,0,0,NaN,0,1,0,0,1,0,0
Tripos_balechii,0,0,1,0,0,0,0,NaN,0,0,0,0,0,1,0
Pseliodinium,0,0,1,0,0,0,0,NaN,0,0,0,0,0,1,0
Chaetoceros_tenuissimus,1,0,0,0,0,0,0,NaN,0,0,0,1,0,1,0
Cylindrotheca_min,1,1,0,0,0,0,0,NaN,0,0,0,1,0,1,0
Eucampia_morphytype1,1,0,0,0,0,0,0,NaN,0,0,0,1,0,1,0
Guinardia_delicatula_TAG_Amphidinium_grazing,1,0,0,0,0,0,0,NaN,0,0,0,1,0,1,0
Hemiaulus_membranaceus,1,0,0,0,0,0,0,NaN,0,0,0,1,0,1,0
pennate_Pseudo-nitzschia,1,1,0,0,0,0,0,NaN,0,0,0,1,0,1,0
pennate_Thalassionema,1,1,0,0,0,0,0,NaN,0,0,0,1,0,1,0
shellfish_larvae,0,0,0,0,0,0,0,NaN,1,0,0,0,0,0,1
Asterionellopsis_glacialis,1,0,0,0,0,0,0,NaN,0,0,0,1,0,1,0
Asteromphalus,1,0,0,0,0,0,0,NaN,0,0,0,1,0,1,0
Bacillaria,1,1,0,0,0,0,0,NaN,0,0,0,1,0,1,0
Bacillariophyceae,1,0,0,0,0,0,0,NaN,0,0,0,1,0,1,0
Bacteriastrum,1,0,0,0,0,0,0,NaN,0,0,0,1,0,1,0
Biddulphia,1,0,0,0,0,0,0,NaN,0,0,0,1,0,1,0
Cerataulina_pelagica,1,0,0,0,0,0,0,NaN,0,0,0,1,0,1,0
Chaetoceros,1,0,0,0,0,0,0,NaN,0,0,0,1,0,1,0
Chaetoceros_curvusetus,1,0,0,0,0,0,0,NaN,0,0,0,1,0,1,0
Chaetoceros_danicus,1,0,0,0,0,0,0,NaN,0,0,0,1,0,1,0
Chaetoceros_debilis,1,0,0,0,0,0,0,NaN,0,0,0,1,0,1,0
Chaetoceros_didymus,1,0,0,0,0,0,0,NaN,0,0,0,1,0,1,0
Chaetoceros_didymus_TAG_external_flagellate,1,0,0,0,0,0,0,NaN,0,0,0,1,0,1,0
Chaetoceros_peruvianis,1,0,0,0,0,0,0,NaN,0,0,0,1,0,1,0
Chaetoceros_similis,1,0,0,0,0,0,0,NaN,0,0,0,1,0,1,0
Chaetoceros_socialis,1,0,0,0,0,0,0,NaN,0,0,0,1,0,1,0
Chaetoceros_subtilis,1,0,0,0,0,0,0,NaN,0,0,0,1,0,1,0
Chaetoceros_TAG_external_pennate,1,0,0,0,0,0,0,NaN,0,0,0,1,0,1,0
Chaetoceros_throndsenii,1,0,0,0,0,0,0,NaN,0,0,0,1,0,1,0
