pid,Amoeba,Bacteriastrum,Chaetoceros,Ciliophora,Copepod_nauplii,Cryptophyta,Cylindrotheca,Dictyocha,Dinophyceae,Dinophyceae_morphotype3,Eutintinnus,Gonyaulax,Guinardia_striata,Gyrodinium,Katodinium_or_Torodinium,Laboea_strobila,Leptocylindrus_mediterraneus,Oxytoxum,Phaeocystis,Pleuronema,Pronoctiluca,Proterythropsis,Protoperidinium,Pseliodinium,Pseudo-nitzschia,Rhizosolenia,Strombidium_inclinatum,Strombidium_morphotype1,Syracosphaera_pulchra,Thalassionema,Thalassiosira,Tiarina_fusus,Tripos,Tripos_furca,Tripos_fusus,Tripos_lineatus,Warnowia,bead,bubble,coccolithophorid,colony,detritus,detritus_theca_fragment,detritus_transparent,fecal_pellet,fiber,nanoplankton_mix,pennate,seta
D20210502T074537_IFCB115,0,0,0,0,0,0,0,0,9,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1917,7,8,0,161,1,12,0,13,81,2,0
D20210502T074753_IFCB102,0,0,0,2,0,1,0,0,9,3,0,2,0,0,2,0,0,0,3,0,0,2,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1047,0,6,0,89,0,8,0,19,314,118,0
D20210502T080113_IFCB102,0,0,0,1,0,0,0,0,4,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,844,0,7,0,75,0,6,0,12,168,46,0
D20210502T092319_IFCB115,0,0,1,1,0,32,0,0,9,0,0,0,0,0,3,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,961,20,3,0,155,0,17,2,14,635,112,0
D20210502T093750_IFCB102,0,0,0,0,0,8,0,0,34,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,376,0,0,0,60,0,9,0,8,1065,115,0
D20210502T103747_IFCB115,0,0,0,4,0,3,0,0,6,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,1876,4,5,0,180,0,15,0,7,123,15,0
D20210502T110254_IFCB102,0,0,0,2,0,4,0,0,10,2,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2404,0,5,0,188,0,13,0,16,433,96,0
D20210502T111639_IFCB115,0,0,0,4,0,1,0,0,10,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,2,1968,3,4,0,216,0,9,0,8,84,4,0
D20210502T112258_IFCB102,0,0,1,1,0,0,0,0,12,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,2506,0,2,0,192,0,11,0,18,309,101,0
D20210502T114149_IFCB115,0,0,1,1,0,31,0,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,651,8,3,0,94,0,8,0,8,593,66,0
